1,1,472.0,428.0,71.0,179.0,-1,-1,-1,-1
1,2,548.0,434.0,60.0,170.0,-1,-1,-1,-1
1,3,1367.0,392.0,75.0,230.0,-1,-1,-1,-1
1,4,1479.0,418.0,73.0,178.0,-1,-1,-1,-1
1,5,1228.0,411.0,40.0,114.0,-1,-1,-1,-1
1,6,678.0,416.0,67.0,194.0,-1,-1,-1,-1
1,7,591.0,430.0,53.0,171.0,-1,-1,-1,-1
1,8,728.0,418.0,59.0,180.0,-1,-1,-1,-1
1,9,1171.0,418.0,36.0,104.0,-1,-1,-1,-1
1,10,635.0,428.0,55.0,136.0,-1,-1,-1,-1
1,11,812.0,430.0,21.0,61.0,-1,-1,-1,-1
1,12,1112.0,416.0,31.0,81.0,-1,-1,-1,-1
1,13,857.0,433.0,21.0,70.0,-1,-1,-1,-1
1,14,841.0,428.0,24.0,65.0,-1,-1,-1,-1
1,15,396.0,434.0,29.0,65.0,-1,-1,-1,-1
2,1,465.0,426.0,71.0,179.0,-1,-1,-1,-1
2,2,542.0,433.0,62.0,169.0,-1,-1,-1,-1
2,3,1362.0,393.0,75.0,227.0,-1,-1,-1,-1
2,4,1470.0,417.0,74.0,180.0,-1,-1,-1,-1
2,5,1221.0,410.0,41.0,116.0,-1,-1,-1,-1
2,6,671.0,412.0,68.0,196.0,-1,-1,-1,-1
2,7,586.0,427.0,52.0,172.0,-1,-1,-1,-1
2,8,720.0,416.0,58.0,181.0,-1,-1,-1,-1
2,9,1164.0,419.0,37.0,103.0,-1,-1,-1,-1
2,10,631.0,426.0,52.0,136.0,-1,-1,-1,-1
2,11,805.0,430.0,20.0,58.0,-1,-1,-1,-1
2,12,1106.0,417.0,30.0,80.0,-1,-1,-1,-1
2,13,851.0,433.0,20.0,69.0,-1,-1,-1,-1
2,14,834.0,426.0,22.0,67.0,-1,-1,-1,-1
2,15,390.0,433.0,28.0,67.0,-1,-1,-1,-1
3,1,457.0,426.0,71.0,179.0,-1,-1,-1,-1
3,2,536.0,433.0,63.0,168.0,-1,-1,-1,-1
3,3,1360.0,395.0,74.0,225.0,-1,-1,-1,-1
3,4,1462.0,418.0,75.0,180.0,-1,-1,-1,-1
3,5,1211.0,410.0,42.0,116.0,-1,-1,-1,-1
3,6,663.0,409.0,74.0,200.0,-1,-1,-1,-1
3,7,579.0,426.0,53.0,173.0,-1,-1,-1,-1
3,8,711.0,418.0,60.0,179.0,-1,-1,-1,-1
3,9,1156.0,419.0,37.0,102.0,-1,-1,-1,-1
3,10,626.0,426.0,50.0,137.0,-1,-1,-1,-1
3,11,797.0,429.0,20.0,61.0,-1,-1,-1,-1
3,12,1099.0,417.0,30.0,81.0,-1,-1,-1,-1
3,13,845.0,434.0,19.0,69.0,-1,-1,-1,-1
3,14,829.0,426.0,20.0,68.0,-1,-1,-1,-1
3,15,380.0,431.0,29.0,69.0,-1,-1,-1,-1
3,16,815.0,429.0,20.0,63.0,-1,-1,-1,-1
3,17,763.0,428.0,23.0,65.0,-1,-1,-1,-1
4,1,449.0,427.0,73.0,180.0,-1,-1,-1,-1
4,2,531.0,434.0,61.0,166.0,-1,-1,-1,-1
4,3,1357.0,397.0,75.0,225.0,-1,-1,-1,-1
4,4,1456.0,420.0,73.0,179.0,-1,-1,-1,-1
4,5,1206.0,411.0,42.0,115.0,-1,-1,-1,-1
4,6,656.0,410.0,78.0,201.0,-1,-1,-1,-1
4,7,567.0,425.0,59.0,175.0,-1,-1,-1,-1
4,8,702.0,420.0,60.0,176.0,-1,-1,-1,-1
4,9,1150.0,420.0,37.0,104.0,-1,-1,-1,-1
4,10,622.0,427.0,51.0,135.0,-1,-1,-1,-1
4,11,791.0,428.0,21.0,62.0,-1,-1,-1,-1
